id,name,country,city,sphere,type,year_creation,number_employees,url
1,0verflow,Япония,Тиёда,Индустрия компьютерных игр,2,1997,1455,0verflow.com
2,0xGames,Кипр,Лимассол,Индустрия компьютерных игр,2,2017,2778,0x.games
3,1-UP Studio,Япония,Токио,Индустрия компьютерных игр,3,2003,3016,1-up-studio.jp
4,2K,США,Новато,Индустрия компьютерных игр,3,2005,2925,2k.com
5,2K China,Китай,Шанхай,Индустрия компьютерных игр,3,2006,2728,2kchina.com
6,2K Czech,Чехия,Брно,Индустрия компьютерных игр,3,1997,2065,2kczech.com
7,2K Marin,Австралия,Новато,Индустрия компьютерных игр,3,2007,2905,2kmarin.com
8,2K Play,Калифорния,Новато,Индустрия компьютерных игр,3,2016,2626,www.2kgames.com/2kplay
9,2K Sports,Калифорния,Новато,Индустрия компьютерных игр,3,2005,796,web.archive.org/web/2009…
10,3D Realms,Дания,Ольборг,Индустрия компьютерных игр,3,1987,3419,3drealms.com
11,The 3DO Company,Way,Редвуд-Сити,Индустрия компьютерных игр,1,1991,2776,3do.com​ (англ.)
12,4A Games,Украина,Киев,Индустрия компьютерных игр,3,2006,2970,4a-games.com.mt
13,7 Studios,США,Лос-Анджелес,Индустрия компьютерных игр,3,1999,3071,www.sevenstudios.com
14,11 bit studios,Польша,Варшава,Индустрия компьютерных игр,2,2009,4337,11bitstudios.com
15,22Cans,Великобритания,Гилфорд,Индустрия компьютерных игр,1,2012,3025,22cans.com
16,31st Union,Испания,Валенсия,Индустрия компьютерных игр,3,2019,824,thirtyfirstunion.com
17,343 Industries,США,Редмонд,Индустрия компьютерных игр,3,2007,4178,343industries.com
18,505 Games,Милан,Милан,Индустрия компьютерных игр,3,2006,3155,505games.com
19,989 Studios,США,Сан-Диего,Индустрия компьютерных игр,3,1995,591,989.com
20,"2015, Inc.",США,Вашингтон,Индустрия компьютерных игр,2,1997,207,2015games.net
21,Бука,Россия,Москва,Разработка программного обеспечения,1,1993,3542,buka.ru
22,Невософт,Санкт-Петербург,Санкт-Петербург,Индустрия компьютерных игр,2,1989,2840,company.nevosoft.ru
23,Acclaim Entertainment,США,Вашингтон,Разработка программного обеспечения,1,1987,4957,web.archive.org/*/http:/…
24,Accolade,США,Вашингтон,Разработка программного обеспечения,2,1984,2198,accolade.com
25,ACE Team,Чили,Сантьяго,Индустрия компьютерных игр,2,1997,3105,aceteam.cl
26,Action Forms,Украина,Киев,Индустрия компьютерных игр,2,1995,1513,action-forms.com
27,Activision,США,Санта-Моника,Индустрия компьютерных игр,3,1979,2914,activision.com​ (англ.)
28,Alawar,США,Льюис,Индустрия компьютерных игр,2,1999,842,company.alawar.com
29,Amazon Games,США,Сиэтл,Индустрия компьютерных игр,2,2012,4016,amazongames.com​ (англ.)
30,Amazon Games Orange County,Калифорния,Ирвайн,Индустрия компьютерных игр,2,2007,422,www.doublehelixgames.com
31,Arc System Works,Иокогама,Япония,Индустрия компьютерных игр,5,1965,486,http://www.arcsystemworks.jp
32,ArenaNet,США,Белвью,Индустрия компьютерных игр,2,2000,2142,arena.net
