id,name
1,Action
2,Multi-player
3,PvP
4,Online PvP
5,Shared/Split Screen PvP
6,Valve Anti-Cheat enabled
7,Remote Play Together
8,Single-player
9,Steam Cloud
10,Remote Play on Phone
11,Remote Play on Tablet
12,Steam Achievements
13,Steam Trading Cards
14,Captions available
15,Partial Controller Support
16,Includes Source SDK
17,Cross-Platform Multiplayer
18,Stats
19,Commentary available
20,Includes level editor
21,Game demo
22,Экшены
23,Бесплатно
24,Для нескольких игроков
25,Кроссплатформенная игра
26,Достижения Steam
27,Коллекционные карточки
28,Имеются субтитры
29,Мастерская Steam
30,Покупки внутри приложения
31,Контроллер (частично)
32,Имеется античит Valve
33,Статистика
34,Включает редактор уровней
35,Имеются комментарии
36,Remote Play на телефоне
37,Remote Play на планшете
38,Co-op
39,Full controller support
40,Steam Leaderboards
41,Remote Play on TV
42,Free to Play
43,Strategy
44,Steam Workshop
45,SteamVR Collectibles
46,In-App Purchases
47,Adventure
48,Online Co-op
49,Shared/Split Screen Co-op
50,Shared/Split Screen
51,Indie
52,RPG
53,Mods
54,Simulation
55,LAN PvP
56,LAN Co-op
57,Animation & Modeling
58,Video Production
59,Massively Multiplayer
60,MMO
61,Casual
62,Sports
63,Racing
64,Early Access
65,Downloadable Content
